manuscript_panel,measurement,unit,value,genotype_raw,rnai,replicate_id
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7116457891055915,Complex I RNAi,Complex I,b20
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6920752547356741,Complex I RNAi,Complex I,b20
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7336210657473965,Complex I RNAi,Complex I,b20
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.0696724325463558,Complex I RNAi,Complex I,b21
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.968481834856686,Complex I RNAi,Complex I,b21
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9328988275678924,Complex I RNAi,Complex I,b21
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.491275197543387,Complex I RNAi,Complex I,b21
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8952723875425895,Complex I RNAi,Complex I,b21
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),1.098881078230863,Complex I RNAi,Complex I,b22
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9614542447546628,Complex I RNAi,Complex I,b22
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.93526289260732,Complex I RNAi,Complex I,b22
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.9867219844473304,Complex I RNAi,Complex I,b22
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6271400350595743,Complex I RNAi,Complex I,b23
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6181623305778614,Complex I RNAi,Complex I,b23
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6507495793349106,Complex I RNAi,Complex I,b23
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.7391268487997477,Complex I RNAi,Complex I,b23
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8203640675787021,Complex I RNAi,Complex I,b24
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8028441442804338,Complex I RNAi,Complex I,b24
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8925996540921435,Complex I RNAi,Complex I,b24
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.8893143693764207,Complex I RNAi,Complex I,b24
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.5809354845420164,Complex I RNAi,Complex I,b25
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.6234192646786938,Complex I RNAi,Complex I,b25
Fig_S7C,Normalized pAMPK intensity per NSC,normalized intensity (a.u.),0.5881377474657786,Complex I RNAi,Complex I,b25
